Cam1,Cam2,Temp,Press,Alt,Accel_x2,Accel_y2,Accel_z2,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Quaternion_1,Quaternion_2,Quaternion_3,Quaternion_4,Stage,Time
1,0,25.7521667,909.8962402,898.3813477,0.2353596,4.4718323,-65.9006882,3.897908,-1.2059826,-70.6217651,-0.0651557,-0.0185262,0.0613915,7.3641143,29.4564571,24.6054935,-0.0404884,0.8216703,0.5673538,0.0363287,0,2538700
1,1,25.7510738,909.8139038,899.1296387,0.3530394,2.4712758,-71.078598,-0.1866402,1.6151553,-71.913887,-0.0443863,-0.0331869,0.0088571,7.831677,29.4564571,24.7223835,-0.040368,0.8216695,0.567368,0.0362561,0,2538726
0,0,25.7506924,909.7323608,899.8703613,-0.8237587,4.118793,-68.7250061,2.8211379,1.2562319,-73.5362244,-0.0627123,-0.0160827,-0.0436773,8.2992401,28.6382236,25.0146122,-0.040269,0.8216761,0.567368,0.0362151,0,2538752
0,0,25.7502728,909.6487427,900.6296997,0.4707192,5.0602317,-65.0769272,0.1507478,2.2755742,-74.5053177,-0.0663775,-0.0173044,-0.076664,7.5978956,29.4564571,24.4886017,-0.040148,0.8216689,0.5673908,0.0361572,0,2538778
0,0,25.7489243,909.5616455,901.4215698,-0.588399,2.1182363,-69.6664429,0.1651048,-1.1772686,-73.1414108,-0.0431646,-0.0038654,-0.1194246,7.1887784,29.690239,24.6054935,-0.0400839,0.8216549,0.5674211,0.0360714,0,2538804
0,1,25.7487793,909.4714355,902.2403564,-2.1182363,-1.176798,-74.0205994,0.9619147,5.8863435,-79.1928635,-0.0260604,-0.0026437,-0.1646286,7.0718875,29.3980122,25.1315022,-0.0399348,0.8216379,0.5674572,0.0360596,0,2538829
1,1,25.748251,909.3792725,903.0783691,0.3530394,2.353596,-69.5487595,2.8642087,3.8548372,-76.2209702,-0.0724861,0.0010215,-0.1841763,7.9485679,30.4500275,24.3717117,-0.0398196,0.8216244,0.567485,0.0360539,0,2538855
0,0,25.7472668,909.2836914,903.9472656,1.6475173,1.5298375,-73.5498734,0.7393821,-0.660419,-70.0044174,-0.0248386,-0.0014219,-0.2562584,7.831677,30.1578007,24.7808285,-0.0397482,0.8216129,0.5675116,0.0359765,0,2538881
0,1,25.7475395,909.1712036,904.96875,0.588399,1.2944778,-73.4321976,1.3423735,3.050849,-83.0692291,-0.0480515,0.0144606,-0.2721409,7.6563411,31.2682629,24.6639385,-0.0396417,0.8215912,0.5675524,0.0359444,0,2538907
0,0,25.7470303,909.0675659,905.911377,0.3530394,2.2359161,-72.0200348,1.485943,3.2662029,-80.5854797,-0.0663775,0.0107954,-0.2916886,7.4810052,30.6838093,24.8977203,-0.039532,0.8215697,0.5675927,0.0359175,0,2538932
0,1,25.7464828,908.9480591,906.9978638,0.3530394,1.2944778,-73.4321976,1.5002997,-0.4737789,-72.3087082,-0.0028475,0.0132388,-0.3454447,7.0718875,32.5540619,24.7808285,-0.0394892,0.821533,0.5676522,0.0358679,0,2538958
1,0,25.7462273,908.835022,908.0257568,1.0591182,1.7651969,-70.8432388,-0.5599205,1.6582261,-73.3495865,-0.0113996,0.0156823,-0.3857618,7.3641143,32.203392,24.7223835,-0.0393907,0.8215017,0.5677082,0.0358066,0,2538984
0,1,25.7450256,908.7155151,909.1119385,-0.588399,1.6475173,-69.4310837,1.2059826,-1.2562319,-80.8223648,-0.0456081,0.0278996,-0.402866,7.7147865,33.4891891,24.3717117,-0.0393475,0.8214672,0.5677649,0.0357432,0,2539009
0,1,25.7436771,908.5864258,910.2861328,0.9414384,0.7060788,-75.9034729,-0.567099,1.2059826,-76.7665329,0.0350262,0.0132388,-0.4627308,7.0718875,33.1385155,24.4301567,-0.0392664,0.821425,0.5678356,0.0356821,0,2539035
1,0,25.7418022,908.4478149,911.5467529,-1.7651969,3.1773546,-70.1371689,3.3164523,3.8189452,-80.212204,-0.0065127,0.0266779,-0.452957,7.2472239,34.2489777,24.3132668,-0.0391879,0.821376,0.5679109,0.0356962,0,2539061
0,0,25.7400894,908.3179321,912.7277832,0.1176798,2.9419951,-74.9620361,-1.7730815,0.8757731,-74.4263535,-0.0101779,0.0254561,-0.4944958,7.6563411,33.6645241,24.5470486,-0.0390922,0.8213399,0.5679752,0.035613,0,2539087
0,0,25.7382317,908.1793213,913.9891968,0,0.3530394,-76.1388321,-0.6317052,0.4594219,-78.1519775,-0.0089561,0.0303431,-0.5079349,6.3705435,34.1320877,24.6054935,-0.0390328,0.8212832,0.5680647,0.0355553,0,2539112
1,0,25.736536,908.03479,915.3040771,0,2.0005567,-77.4333115,0.0071785,0.9116654,-77.3623505,-0.0199517,0.0205692,-0.5409216,6.8381062,35.0672112,24.8977203,-0.0389691,0.8212279,0.568152,0.0355077,0,2539142
0,0,25.7336769,907.8740845,916.7664185,-0.3530394,1.176798,-74.6089935,1.6941184,3.4600215,-77.3408127,0.0460217,0.0254561,-0.5763518,8.0070133,35.4178848,24.9561653,-0.0388757,0.8211834,0.5682235,0.0354948,0,2539168
0,0,25.7321091,907.7177124,918.1893921,0.9414384,4.7071919,-72.1377182,2.1535404,0.215354,-75.7471924,0.0240306,0.0278996,-0.625221,6.1952071,35.4763298,24.4886017,-0.0388529,0.8211132,0.5683278,0.0354764,0,2539194
1,1,25.7297592,907.5476685,919.7373047,1.7651969,2.4712758,-74.8443527,3.0364919,-0.3302095,-74.8642426,0.0142567,0.0242344,-0.625221,6.1367621,36.7036819,24.7808285,-0.0388493,0.8210374,0.568438,0.0354679,0,2539219
0,1,25.7285938,907.3843384,921.2244873,0.3530394,5.8839903,-70.1371689,1.4428722,2.8929224,-83.0692291,0.0509087,0.0217909,-0.63866,5.7276444,36.2945633,25.365284,-0.0387939,0.8209598,0.5685538,0.0354657,0,2539245
1,0,25.7265358,907.2000732,922.9016113,0.7060788,2.353596,-76.3741913,2.7493532,1.5074784,-79.0708237,0.058239,0.0327865,-0.6472121,5.3769727,37.1128006,24.7808285,-0.0387739,0.8208719,0.5686815,0.035475,0,2539271
0,0,25.7255878,907.0291748,924.4573975,1.5298375,2.7066355,-79.0808258,1.3926227,2.1822543,-81.9781036,0.0643477,0.0230127,-0.6753119,6.0198712,36.469902,25.0146122,-0.0387241,0.820796,0.5687954,0.0354638,0,2539297
1,0,25.7235661,906.8433838,926.1499023,0.4707192,2.2359161,-79.4338684,1.6079768,-0.9403793,-76.7378235,0.0191437,0.0278996,-0.6655381,5.1431913,37.6388092,25.306839,-0.0387284,0.8207061,0.5689262,0.0354403,0,2539322
0,0,25.7222004,906.6643677,927.7804565,0.7060788,2.2359161,-81.0813828,1.4285151,0.7034898,-78.8267517,0.0619042,0.0144606,-0.6924162,4.0911751,38.106369,24.6639385,-0.038723,0.8205979,0.5690825,0.0354382,0,2539348
1,0,25.7202873,906.480835,929.4525757,1.0591182,3.8834333,-75.1973953,1.0839486,1.5146567,-79.6594543,0.0997779,0.0156823,-0.6924162,4.1496201,39.1583862,25.189949,-0.0387059,0.8204888,0.5692411,0.0354381,0,2539374
